-1 8
40667 10 29.6.1991
40983 20 3.8.1991
41404 25 12.8.1991
41670 10 21.7.1991
41844 10 26.7.1991
41914 10 4.8.1991
42138 20 16.8.1991
42263 15 29.8.1991
42515 25 18.9.1991
42750 20 13.11.1991
42943 10 26.12.1991
43023 15 4.1.1992
43282 15 22.2.1992
43524 20 14.3.1992
43621 15 19.4.1992
43930 25 14.5.1992
44126 15 13.6.1992
44598 20 10.7.1992
44664 15 11.7.1992
44968 20 17.7.1992
45238 10 19.7.1992
45465 25 29.7.1992
45810 25 29.7.1992
46038 20 5.8.1992
46512 30 12.8.1992
47019 31 16.8.1992
47451 31 18.9.1992
47707 19 25.9.1992
48051 10 19.12.1992
48313 10 15.2.1993
48490 15 21.3.1993
48633 10 9.4.1993
48796 10 18.4.1993
48918 20 23.5.1993
49249 10 5.6.1993
49324 15 13.6.1993
49434 10 19.6.1993
49747 25 10.7.1993
50034 20 14.7.1993
50488 15 27.7.1993
50578 15 1.8.1993
50853 21 6.8.1993
51295 15 13.8.1993
51543 10.5 21.8.1993
51570 15 10.9.1993
51703 10.5 9.10.1993
-1 18.50
51934 15 31.10.1993
52138 20 21.12.1993
52352 15 14.1.1994
52543 16 11.3.1994
52783 10.8 21.4.1994
52807 15.1 1.5.1994
53086 15.1 23.5.1994
53260 15.2 10.6.1994
53481 16.2 21.6.1994
53572 21.5 4.7.1994
53855 16.2 14.7.1994
54191 16.2 14.7.1994
54347 16.2 17.7.1994
54859 16.2 19.7.1994
55081 21.6 21.7.1994
55431 16.2 21.7.1994
-1 19
55743 21 2.8.1994
56082 15.8 8.8.1994
56258 16 28.8.1994
56479 10.5 30.8.1994
56649 10.5 1.9.1994
56726 10.5 3.9.1994
56913 10.5 15.9.1994
57110 15.5 23.1.1994
57319 27 15.10.1994
57609 16.2 6.11.1994
57902 16.2 2.12.1994
58067 10.5 27.12.1994
-1 18.20
58205 11 4.1.1995
58376 20 23.1.1995
58483 16.5 18.2.1995
58656 16.5 3.3.1995
58842 27.5 21.3.1995
59286 19.2 23.3.1995
59649 16.5 27.3.1995
59691 11 7.4.1995
59996 16.5 28.4.1995
60198 16.5 19.5.1995
60380 16.2 12.6.1995
60551 10.8 21.6.1995
60722 27 12.7.1995
61027 16.2 29.7.1995
61366 16.2 5.8.1995
61496 18.9 13.8.1995
61863 21.5 19.8.1995
62105 16.2 10.9.1995
62386 16.2 26.9.1995
62532 16.2 23.10.1995
62663 16.2 10.12.1995
62851 16.2 27.12.1995
63032 16.2 3.2.1996
63168 16.2 22.3.1996
63495 16.2 23.4.1996
63646 15.4 26.5.1996
63963 20.3 1.6.1996
64192 15.4 8.6.1996
64385 15.3 3.7.1996
64572 15.4 14.7.1996
64803 20.5 30.7.1996
65104 22 8.8.1996
65469 14.5 9.8.1996
65697 19.5 13.8.1996
66089 14.5 13.8.1996
66200 19.2 25.8.1996
66508 19.2 28.8.1996
66891 14.1 28.8.1996
